date,store,item,qnty,group
2018-02-28,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,1863.49,Гвоздь
2018-03-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,2548.037,Гвоздь
2018-04-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,399.319,Гвоздь
2018-05-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,855.684,Гвоздь
2018-06-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,7035.624,Гвоздь
2018-07-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,3784.025,Гвоздь
2018-08-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,10287.223,Гвоздь
2018-09-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,1121.897,Гвоздь
2018-10-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,1502.201,Гвоздь
2018-11-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,6160.925,Гвоздь
2018-12-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,4316.45,Гвоздь
2019-01-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,1007.806,Гвоздь
2019-02-28,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,855.684,Гвоздь
2019-03-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,627.502,Гвоздь
2019-04-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,2224.778,Гвоздь
